"","H2O2","IL.1","JAK.STAT","MAPK_only","MAPK_PI3K","TLR","PI3K_only","TGFB","TNFa","VEGF","Wnt"
"DB",-0.97318,-2.90531,1.55239,-2.65127,-5.27615,0.21015,0.01494,-1.13387,-1.48766,0.91727,1.7945
"DBTRG-05MG",1.97387,2.47535,-1.79122,3.69336,2.46299,-0.46539,-0.94683,2.53821,-0.53349,1.06727,0.68662
"DEL",-1.00277,-1.10171,1.86638,-2.20466,0.45684,2.50117,-1.11033,-1.49429,1.54684,-3.2614,-2.81391
"Detroit562",0.71717,-0.06416,-1.72555,-0.81473,-0.0717,1.52067,1.94425,-0.9108,2.59114,0.3737,-2.10267
"DG-75",-0.2385,0.09253,1.56517,-3.63601,-3.31307,1.45147,-1.16144,0.51587,1.11275,0.03089,0.05327
"DJM-1",1.45828,2.68098,-1.28468,0.26732,2.066,2.33439,1.30958,1.39556,2.31667,-1.35484,-1.90184
"DK-MG",4.70195,1.9477,-3.07614,-1.28723,0.70799,-0.94392,-4.25161,5.51307,-0.41252,2.29462,1.55761
"DMS-114",0.58212,1.49331,-0.06375,-2.20614,-1.96016,-1.23736,0.68069,0.15383,-3.62062,-0.44899,-0.83684
"DMS-273",-0.52159,-2.05932,-0.04,-1.00536,-2.88184,-0.84722,-0.05018,1.81536,-1.99255,0.82789,3.03369
"DMS-53",0.51729,-0.32099,-0.62308,-0.76417,-1.0548,-0.64164,0.22242,0.53734,1.62326,-1.53412,-1.60003
"DMS-79",-3.71269,-1.6535,1.67098,0.70093,-2.19796,-0.46819,-0.75632,-0.04417,-2.21706,-1.11806,-1.76283
"DND-41",-3.24913,-3.25454,4.456,-0.79113,-1.87798,0.25348,-1.61174,1.222,-1.54413,0.34806,3.34299
"DOHH-2",-1.5742,0.12542,1.95985,-0.90297,-2.12422,3.40878,-2.68066,-2.12998,0.62516,1.02732,-1.43722
"DOK",1.45607,0.05176,-1.22098,-1.74906,1.66161,-0.22142,1.04716,0.16268,0.44408,-1.52632,-5.15181
